Class Times	10
Rooms	200
1	15
2	20
3	37
4	15
5	16
6	13
7	15
8	18
9	31
10	11
11	15
12	33
13	15
14	32
15	20
16	38
17	16
18	11
19	24
20	15
21	19
22	25
23	29
24	34
25	15
26	38
27	33
28	36
29	30
30	32
31	11
32	26
33	28
34	34
35	24
36	32
37	13
38	39
39	26
40	22
41	12
42	31
43	35
44	39
45	27
46	19
47	12
48	33
49	29
50	17
51	22
52	29
53	18
54	20
55	16
56	26
57	12
58	21
59	21
60	35
61	22
62	33
63	37
64	14
65	25
66	36
67	22
68	12
69	29
70	25
71	32
72	22
73	30
74	17
75	34
76	35
77	24
78	15
79	28
80	27
81	23
82	18
83	15
84	12
85	15
86	18
87	39
88	38
89	18
90	29
91	31
92	24
93	34
94	34
95	36
96	34
97	24
98	11
99	34
100	14
101	28
102	30
103	28
104	18
105	13
106	25
107	32
108	28
109	36
110	31
111	18
112	32
113	28
114	38
115	38
116	15
117	22
118	37
119	34
120	24
121	30
122	21
123	11
124	14
125	37
126	12
127	23
128	16
129	18
130	16
131	15
132	27
133	39
134	17
135	35
136	27
137	15
138	28
139	15
140	18
141	35
142	19
143	28
144	21
145	17
146	20
147	13
148	15
149	38
150	39
151	18
152	25
153	32
154	37
155	16
156	32
157	27
158	33
159	33
160	29
161	29
162	29
163	11
164	34
165	32
166	38
167	23
168	17
169	21
170	31
171	10
172	14
173	21
174	14
175	38
176	28
177	13
178	16
179	11
180	25
181	37
182	21
183	15
184	22
185	20
186	15
187	20
188	30
189	25
190	24
191	30
192	34
193	13
194	15
195	22
196	15
197	17
198	34
199	10
200	14
Classes	300
Teachers	150
1	125
2	95
3	150
4	126
5	118
6	45
7	146
8	28
9	29
10	102
11	118
12	142
13	17
14	106
15	139
16	123
17	64
18	43
19	25
20	108
21	138
22	97
23	101
24	139
25	148
26	75
27	50
28	30
29	136
30	125
31	149
32	15
33	147
34	32
35	79
36	150
37	68
38	12
39	49
40	35
41	92
42	73
43	53
44	98
45	85
46	55
47	48
48	62
49	69
50	85
51	83
52	23
53	104
54	27
55	45
56	70
57	148
58	64
59	59
60	124
61	18
62	101
63	38
64	110
65	29
66	116
67	21
68	23
69	127
70	66
71	5
72	7
73	56
74	130
75	3
76	147
77	124
78	47
79	104
80	44
81	131
82	50
83	48
84	91
85	94
86	111
87	15
88	54
89	65
90	93
91	25
92	105
93	107
94	79
95	146
96	31
97	67
98	35
99	54
100	119
101	93
102	20
103	42
104	13
105	67
106	52
107	11
108	27
109	75
110	69
111	47
112	133
113	71
114	28
115	10
116	87
117	70
118	126
119	111
120	82
121	33
122	94
123	72
124	98
125	66
126	42
127	9
128	5
129	77
130	137
131	62
132	65
133	49
134	32
135	108
136	145
137	24
138	59
139	58
140	11
141	13
142	145
143	51
144	56
145	106
146	6
147	91
148	89
149	60
150	112
151	95
152	44
153	24
154	135
155	112
156	116
157	61
158	57
159	74
160	7
161	6
162	87
163	60
164	81
165	2
166	41
167	141
168	109
169	113
170	141
171	137
172	36
173	43
174	41
175	39
176	33
177	8
178	1
179	119
180	86
181	120
182	21
183	142
184	34
185	52
186	4
187	120
188	39
189	72
190	14
191	31
192	83
193	1
194	22
195	12
196	58
197	122
198	105
199	57
200	10
201	107
202	76
203	8
204	20
205	89
206	110
207	4
208	109
209	92
210	81
211	86
212	122
213	61
214	9
215	103
216	132
217	143
218	53
219	135
220	74
221	73
222	123
223	46
224	143
225	77
226	14
227	40
228	37
229	68
230	40
231	102
232	78
233	149
234	134
235	34
236	115
237	121
238	26
239	22
240	103
241	121
242	46
243	18
244	80
245	136
246	71
247	97
248	96
249	138
250	88
251	140
252	55
253	113
254	99
255	51
256	144
257	37
258	17
259	30
260	129
261	80
262	128
263	128
264	130
265	2
266	131
267	132
268	38
269	90
270	90
271	82
272	19
273	26
274	88
275	78
276	36
277	134
278	76
279	3
280	100
281	117
282	63
283	19
284	99
285	96
286	140
287	100
288	115
289	117
290	133
291	114
292	63
293	114
294	127
295	144
296	129
297	16
298	84
299	84
300	16
