base,locations,sections,bico,students
6400	6400	6400	6393	1600
6724	6724	6724	6716	1681
7056	7056	7056	7045	1764
7396	7396	7396	7387	1849
7744	7744	7744	7737	1936
8100	8100	8100	8090	2025
8463	8464	8464	8455	2116
8835	8835	8836	8827	2209
9216	9215	9216	9205	2304
9599	9599	9604	9588	2401
9998	9988	10000	9985	2500
10390	10390	10404	10396	2601
10788	10788	10816	10808	2704
11222	11194	11236	11227	2809
11634	11612	11664	11653	2916
12060	12027	12100	12088	3025
12497	12471	12544	12539	3136
12910	12889	12996	12984	3249
13322	13336	13456	13442	3364
13771	13760	13924	13911	3481
14174	14223	14400	14385	3600
14605	14709	14884	14876	3721
14967	15127	15376	15360	3844
15348	15633	15876	15865	3969
15692	16129	16384	16366	4096
16111	16610	16900	16886	4225
16358	17089	17424	17405	4356
16714	17585	17956	17942	4489
17033	18102	18496	18482	4624
17266	18592	19044	19021	4761
